#,Nom,Catégories,Site,Twitter,Discord,Telegram,NFT,Ethos Score,Ethos Tier,Ethos Profil,Live
1,Breadio,NFT,,https://x.com/Tuteth_,https://discord.com/invite/DRkV2sKHDY,,https://rarible.com/megaethtestnet/collections/0xd45ad5678fd51d3d6b4ce55c720817d9896bb269,1718,Established,https://app.ethos.network/profile/x/Tuteth_,
2,BadBunnz,NFT,,https://x.com/badbunnz_,https://discord.com/invite/ZGFNRqFhqq,,,1665,Established,https://app.ethos.network/profile/x/badbunnz_,
3,Euphoria,"Trading, Mobile, Megamafia",https://euphoria.finance/,https://x.com/Euphoria_fi,https://discord.com/invite/euphoriafi,https://t.me/euphoria_fi,,1597,Known,https://app.ethos.network/profile/x/Euphoria_fi,
4,Meganacci,NFT,https://meganacci.xyz/,https://x.com/meganacci,,,,1597,Known,https://app.ethos.network/profile/x/meganacci,
5,Barry,NFT,,https://x.com/badlydrawnbarry,,,https://rarible.com/megaethtestnet/collections/0x804d4a7fa24cf485cbd574c329849939e7d11ce8,1580,Known,https://app.ethos.network/profile/x/badlydrawnbarry,
6,Cap Money,"DeFi, Megamafia",https://cap.app/,https://x.com/capmoney_,,,,1573,Known,https://app.ethos.network/profile/x/capmoney_,
7,Showdown,"Gaming, Megamafia",https://www.showdown.game/,https://x.com/Showdown_TCG,https://discord.com/invite/VJYRAuT6Dh,,,1551,Known,https://app.ethos.network/profile/x/Showdown_TCG,Oui
8,Megalio,NFT,,https://x.com/MegalioETH,https://discord.com/invite/Nr3Jak7nXt,,https://magiceden.io/collections/ethereum/megalio-16,1536,Known,https://app.ethos.network/profile/x/MegalioETH,
9,Valhalla,Trading,,https://x.com/valhalla_defi,,,,1534,Known,https://app.ethos.network/profile/x/valhalla_defi,
10,Digitrabbits,NFT,,https://x.com/digitrabbits,https://discord.com/invite/QzJvgbr2,https://t.me/digitrabbitsHQ,https://magiceden.io/collections/ethereum/0x0dc2a6df9ce984f1d7cbcb662fb44a87779ec30a,1523,Known,https://app.ethos.network/profile/x/digitrabbits,
11,WorldMarkets,"Trading, Megamafia",https://www.wcm.inc/,https://x.com/worldmarketsinc,,,,1521,Known,https://app.ethos.network/profile/x/worldmarketsinc,Oui
12,BlackHaven,"DeFi, Megamafia",https://early.blackhaven.xyz/?ref=JoestarCrypto,https://x.com/blackhaven,https://discord.com/invite/blackhavenxyz,,,1514,Known,https://app.ethos.network/profile/x/blackhaven,
13,Rocket,"Prediction Market, Mobile, Megamafia",https://userocket.app/,https://x.com/userocket_app,,,,1497,Known,https://app.ethos.network/profile/x/userocket_app,
14,Glitchy Bunnies,NFT,,https://x.com/404bunnies,https://discord.com/invite/glitchybunnies,,,1486,Known,https://app.ethos.network/profile/x/404bunnies,
15,TopStrike,"Gaming, Mobile",https://play.topstrike.io?invite=V71RGO2Z,https://x.com/TopStrikeIO,https://discord.com/invite/Jw4C3pSqCD,,,1480,Known,https://app.ethos.network/profile/x/TopStrikeIO,Oui
16,Netizens,NFT,,https://x.com/WCNetizens,https://discord.com/invite/2FyAD4uZ6y,,,1479,Known,https://app.ethos.network/profile/x/WCNetizens,
17,Kumbaya,"Launchpad, DeFi, Megamafia",https://www.kumbaya.xyz/,https://x.com/kumbaya_xyz,,,,1467,Known,https://app.ethos.network/profile/x/kumbaya_xyz,Oui
18,Enjoyooors,NFT,https://enjoyooors.com/,https://x.com/enjoyooors,https://discord.com/invite/tvb2UUxEwk,,,1466,Known,https://app.ethos.network/profile/x/enjoyooors,
19,Lemonade,"Social, Mobile, Megamafia",https://lemonade.social/,https://x.com/lemonation_xyz,,,,1451,Known,https://app.ethos.network/profile/x/lemonation_xyz,
20,Stomp,"Gaming, Megamafia",https://stomp.gg/,https://x.com/stompdotgg,,,,1451,Known,https://app.ethos.network/profile/x/stompdotgg,Oui
21,Avon,"DeFi, Megamafia",https://www.avon.xyz/,https://x.com/avon_xyz,,https://t.me/avon_xyz,,1450,Known,https://app.ethos.network/profile/x/avon_xyz,Oui
22,PrismFi,DeFi,https://prismfi.cc?ref=joestar,https://x.com/PrismFi_,,,,1444,Known,https://app.ethos.network/profile/x/PrismFi_,
23,Faster,Launchpad,https://www.fasterz.fun/,https://x.com/fasterdotfun,,,,1444,Known,https://app.ethos.network/profile/x/fasterdotfun,
24,PumpParty,Gaming,https://www.pumpparty.com/,https://x.com/pumpparty,,https://t.me/+kh4RQgAcmZAzYWQx,,1442,Known,https://app.ethos.network/profile/x/pumpparty,
25,Meth,Meme,,https://x.com/MethMegaeth,,,,1440,Known,https://app.ethos.network/profile/x/MethMegaeth,
26,Cilium,"Depin, Megamafia",https://cilium.ai/,https://x.com/Cilium_xyz,,,,1438,Known,https://app.ethos.network/profile/x/Cilium_xyz,
27,Blitzo,"Social, Mobile, Megamafia",https://blitzo.xyz/,https://x.com/blitzo,,,,1393,Neutral,https://app.ethos.network/profile/x/blitzo,
28,HelloTrade,"Trading, Mobile, Megamafia",https://www.hello.trade/,https://x.com/hellotradeapp,,,,1391,Neutral,https://app.ethos.network/profile/x/hellotradeapp,
29,Hunch,"Prediction Market, Megamafia",https://www.hunch.lol/,https://x.com/hunchlol,,,,1376,Neutral,https://app.ethos.network/profile/x/hunchlol,
30,Hitdotone,"Gambling, Mobile, Megamafia",https://app.hit.one/r/CYP8SS,https://x.com/hitdotone,,,,1364,Neutral,https://app.ethos.network/profile/x/hitdotone,Oui
31,Everwatch,"AI, Megamafia",https://everwatch.cc/,https://x.com/0xEverwatch,,,,1350,Neutral,https://app.ethos.network/profile/x/0xEverwatch,
32,MTRKR,Tools,https://www.mtrkr.xyz/,https://x.com/mtrkr_xyz,,,,1325,Neutral,https://app.ethos.network/profile/x/mtrkr_xyz,
33,ITS,Gaming,https://itstheseason.xyz/?ref=FX8WPK,https://x.com/megatruther,,,,1301,Neutral,https://app.ethos.network/profile/x/megatruther,
34,Fluffle,NFT,https://nft.megaeth.com/,https://x.com/TheFluffleNFT,,,,1284,Neutral,https://app.ethos.network/profile/x/TheFluffleNFT,
35,Wink Realm,Gaming,,https://x.com/Wink_Realm,,,,1280,Neutral,https://app.ethos.network/profile/x/Wink_Realm,
36,NectarAI,"AI, Megamafia",https://nectar.ai/,https://x.com/TryNectarAI,https://discord.com/invite/ZFfEAbgsHm,,,1239,Neutral,https://app.ethos.network/profile/x/TryNectarAI,
37,Funes,"Depin, Megamafia",https://funes.world/,https://x.com/Funes_World,,,,1239,Neutral,https://app.ethos.network/profile/x/Funes_World,
38,Tulpea,RWA,https://tulpea.org/,https://x.com/Tulpea_org,,,,1239,Neutral,https://app.ethos.network/profile/x/Tulpea_org,Oui
39,Ubitel,"Depin, Megamafia",https://app.ubi.tel/,https://x.com/getubitel,,,,1236,Neutral,https://app.ethos.network/profile/x/getubitel,Oui
40,RainMaker,Launchpad,https://rainmakr.xyz/en,https://x.com/RainMakr_xyz,https://discord.com/invite/rainmakrxyz,,,1234,Neutral,https://app.ethos.network/profile/x/RainMakr_xyz,Oui
41,Aveforge,Gaming,https://aveforge.gg/?referralCode=joestar633,https://x.com/AveForge,https://discord.com/invite/aveforge,,,1229,Neutral,https://app.ethos.network/profile/x/AveForge,Oui
42,MegaRebel,NFT,,https://x.com/MegaRebelNFT,https://discord.com/invite/67WPZwdFeX,,,1229,Neutral,https://app.ethos.network/profile/x/MegaRebelNFT,
43,Backed,AI,https://www.backed.app/,https://x.com/BackedApp,,,,1228,Neutral,https://app.ethos.network/profile/x/BackedApp,
44,Dream,"Trading, Megamafia",https://dreamos.app/,https://x.com/dreaming,,,,1222,Neutral,https://app.ethos.network/profile/x/dreaming,
45,1PerDay,Launchpad,https://1pd.fun/,https://x.com/1pdfun,,https://t.me/onepdfun,,1216,Neutral,https://app.ethos.network/profile/x/1pdfun,
46,Warren,Tools,https://thewarren.app/,https://x.com/thewarren_app,,https://t.me/thewarren_app,,1216,Neutral,https://app.ethos.network/profile/x/thewarren_app,
47,Telis,Bridge,https://app.telis.xyz/,https://x.com/telisxyz,,,,1215,Neutral,https://app.ethos.network/profile/x/telisxyz,
48,Dead Bit Nation,NFT,,https://x.com/deadbitnation,https://discord.gg/ADPVhSM2,,,1206,Neutral,https://app.ethos.network/profile/x/deadbitnation,
49,MegaFarm,Gaming,https://megafarm.io/test/,https://x.com/MegaFarm_io,https://discord.com/invite/NHUSy9eT28,,,1205,Neutral,https://app.ethos.network/profile/x/MegaFarm_io,
50,Syndicate,Social,,https://x.com/joinsyndicate_,https://discord.com/invite/5CtepFcZs2,,,1201,Neutral,https://app.ethos.network/profile/x/joinsyndicate_,
51,MegaBeers,Gaming,https://www.megabeers.com/,https://x.com/mega_beers,https://discord.com/invite/ZBEPaZJMSK,,,1200,Neutral,https://app.ethos.network/profile/x/mega_beers,
52,Survivors,Gaming,https://www.joinsurvivors.com/,https://x.com/JoinSurvivors,,,,1200,Neutral,https://app.ethos.network/profile/x/JoinSurvivors,
53,MegaDomains,Tools,https://dotmega.domains/,https://x.com/dotmegadomains,,,,1200,Neutral,https://app.ethos.network/profile/x/dotmegadomains,
54,Pulse,AI,https://thepulseai.app/,https://x.com/pulseai_app,,,,1200,Neutral,https://app.ethos.network/profile/x/pulseai_app,
55,Evently,Prediction Market,https://evently.market/,https://x.com/eventlymarket,https://discord.com/invite/axCYVSPKzc,,,1200,Neutral,https://app.ethos.network/profile/x/eventlymarket,
56,Offshore,Gambling,https://offshoreprotocol.fun?ref=139,https://x.com/OffshoreOnMega,,,,1198,Questionable,https://app.ethos.network/profile/x/OffshoreOnMega,Oui
57,Supernova,"DeFi, Megamafia",https://www.supernova.vision/,https://x.com/SupernovaLabs_,,,,1197,Questionable,https://app.ethos.network/profile/x/SupernovaLabs_,Oui
58,MiniMinds,NFT,https://miniminds.love/,https://x.com/theminiminds,,https://t.me/theminiminds,,1190,Questionable,https://app.ethos.network/profile/x/theminiminds,
59,Dorado,"Gambling, Megamafia",https://www.doradogames.xyz/waitlist,https://x.com/DoradoGames_xyz,,,,1188,Questionable,https://app.ethos.network/profile/x/DoradoGames_xyz,
60,BunnzPaw,Gambling,https://www.bunnzpaw.com/,https://x.com/BunnzPaw,,,,1187,Questionable,https://app.ethos.network/profile/x/BunnzPaw,
61,Priority,Trading bot,,https://x.com/PriorityTrade_,,https://t.me/prioritytradebot?start=code_5846523252,,1184,Questionable,https://app.ethos.network/profile/x/PriorityTrade_,Oui
62,MegaBlobz,NFT,,https://x.com/MegaBlobz,https://discord.com/invite/bkhtNHeFXQ,,,1184,Questionable,https://app.ethos.network/profile/x/MegaBlobz,
63,Benchmark,"DeFi, Megamafia",https://www.benchmark.finance/,https://x.com/BenchmarkFi,,,,1182,Questionable,https://app.ethos.network/profile/x/BenchmarkFi,
64,Skrrtlords,Gaming,https://skrrtlords.com/,https://x.com/skrrtlords,https://discord.com/invite/9xsuEzt8kU,,,1161,Questionable,https://app.ethos.network/profile/x/skrrtlords,
65,Brix,"RWA, Megamafia",https://www.brix.money/,https://x.com/brix_money,,https://t.me/BrixDotMoney,,1153,Questionable,https://app.ethos.network/profile/x/brix_money,
66,CryptsAI,AI,https://crypts.ai/,https://x.com/AiCrypts,,,,1150,Questionable,https://app.ethos.network/profile/x/AiCrypts,
